0, -0.005, 0, 0.009355
0, -0.01, 0, 0.009366
0, -0.015, 0, 0.009381
0, -0.02, 0, 0.00936
0, -0.025, 0, 0.009402
0, -0.03, 0, 0.009402
0, -0.035, 0, 0.009413
0, -0.04, 0, 0.009407
0, -0.045, 0, 0.009423
0, -0.05, 0, 0.00936
0, -0.055, 0, 0.009366
0, -0.06, 0, 0.009423
0, -0.065, 0, 0.009371
0, -0.07, 0, 0.009407
0, -0.075, 0, 0.009402
0, -0.08, 0, 0.009397
0, -0.085, 0, 0.009366
0, -0.09, 0, 0.009407
0, -0.095, 0, 0.009418
0, -0.1, 0, 0.009397
0, -0.105, 0, 0.009355
0, -0.11, 0, 0.009366
0, -0.115, 0, 0.009371
0, -0.12, 0, 0.009366
0, -0.125, 0, 0.009413
0, -0.13, 0, 0.009407
0, -0.135, 0, 0.009392
0, -0.14, 0, 0.009418
0, -0.145, 0, 0.009371
0, -0.15, 0, 0.009366
0, -0.155, 0, 0.009407
0, -0.16, 0, 0.009366
0, -0.165, 0, 0.009413
0, -0.17, 0, 0.009371
0, -0.17500000000000002, 0, 0.009387
0, -0.18, 0, 0.009402
0, -0.185, 0, 0.009392
0, -0.19, 0, 0.009397
0, -0.195, 0, 0.00936
0, -0.2, 0, 0.00936
0, -0.20500000000000002, 0, 0.009355
0, -0.21, 0, 0.009397
0, -0.215, 0, 0.009402
0, -0.22, 0, 0.009376
0, -0.225, 0, 0.009355
0, -0.23, 0, 0.009392
0, -0.23500000000000001, 0, 0.009407
0, -0.24, 0, 0.009392
0, -0.245, 0, 0.009366
0, -0.25, 0, 0.009407
0, -0.255, 0, 0.009355
0, -0.26, 0, 0.009381
0, -0.265, 0, 0.009376
0, -0.27, 0, 0.00934
0, -0.275, 0, 0.009387
